,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__base_estimator__max_depth,param_base_estimator__base_estimator__max_features,param_base_estimator__n_estimators,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,mean_test_auc,std_test_auc,rank_test_auc
0,124.98339800834655,1.8625950070455812,11.418732404708862,0.44444097479520983,30,0.5,10,250,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 10, 'n_estimators': 250}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06896551724137932,0.0967741935483871,0.13358811822838149,0.04561367151281309,1,0.7867360099157497,0.7937415205266068,0.9042901250076769,0.8369889285295546,0.8154369067560021,0.827438698147118,0.042269611581621055,1
1,145.6587182998657,0.8673645465843345,16.5534038066864,0.2593707270034881,30,0.5,10,300,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 10, 'n_estimators': 300}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06666666666666667,0.06666666666666667,0.12710684273709486,0.052189302034054086,7,0.7885686928071732,0.7970272292291287,0.9004921584063336,0.83483939947183,0.8152303182579564,0.8272315596344845,0.039940313470278495,7
2,243.10864691734315,2.5233583818796785,25.42178111076355,0.980838392306492,30,0.5,10,500,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 10, 'n_estimators': 500}",0.11538461538461539,0.12244897959183673,0.23529411764705885,0.06451612903225805,0.07017543859649122,0.12156385605045203,0.06143085782908682,13,0.7922982653021344,0.8023466157479523,0.8913636389014511,0.832452584738902,0.8133710217755444,0.8263664252931969,0.03512307048647267,13
3,119.203382396698,2.781929855628877,12.726756191253662,1.5611960826577609,30,0.5,25,250,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 25, 'n_estimators': 250}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06896551724137932,0.0967741935483871,0.13358811822838149,0.04561367151281309,1,0.7867360099157497,0.7937415205266068,0.9042901250076769,0.8369889285295546,0.8154369067560021,0.827438698147118,0.042269611581621055,1
4,143.0291934967041,1.4907706017345268,16.699086046218873,0.6107118709203176,30,0.5,25,300,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 25, 'n_estimators': 300}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06666666666666667,0.06666666666666667,0.12710684273709486,0.052189302034054086,7,0.7885686928071732,0.7970272292291287,0.9004921584063336,0.83483939947183,0.8152303182579564,0.8272315596344845,0.039940313470278495,7
5,239.17005281448365,3.1381996839298485,28.20286636352539,1.1770838706557711,30,0.5,25,500,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 25, 'n_estimators': 500}",0.11538461538461539,0.12244897959183673,0.23529411764705885,0.06451612903225805,0.07017543859649122,0.12156385605045203,0.06143085782908682,13,0.7922982653021344,0.8023466157479523,0.8913636389014511,0.832452584738902,0.8133710217755444,0.8263664252931969,0.03512307048647267,13
6,119.74790821075439,2.6907156502326846,13.173548412322997,0.23995117750766776,30,0.5,50,250,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 50, 'n_estimators': 250}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06896551724137932,0.0967741935483871,0.13358811822838149,0.04561367151281309,1,0.7867360099157497,0.7937415205266068,0.9042901250076769,0.8369889285295546,0.8154369067560021,0.827438698147118,0.042269611581621055,1
7,142.4993215560913,1.3728485633134735,17.0781352519989,0.8200641823306977,30,0.5,50,300,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 50, 'n_estimators': 300}",0.14285714285714285,0.16326530612244897,0.19607843137254904,0.06666666666666667,0.06666666666666667,0.12710684273709486,0.052189302034054086,7,0.7885686928071732,0.7970272292291287,0.9004921584063336,0.83483939947183,0.8152303182579564,0.8272315596344845,0.039940313470278495,7
8,240.44879808425904,3.814229451228023,26.57856688499451,1.2723633138479176,30,0.5,50,500,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.5, 'base_estimator__n_estimators': 50, 'n_estimators': 500}",0.11538461538461539,0.12244897959183673,0.23529411764705885,0.06451612903225805,0.07017543859649122,0.12156385605045203,0.06143085782908682,13,0.7922982653021344,0.8023466157479523,0.8913636389014511,0.832452584738902,0.8133710217755444,0.8263664252931969,0.03512307048647267,13
9,118.89408454895019,2.681495181950116,14.407481050491333,1.164843427539791,30,0.8,10,250,"{'base_estimator__base_estimator__max_depth': 30, 'base_estimator__base_estimator__max_features': 0.8, 'base_estimator__n_estimators': 10, 'n_estimators': 250}",0.10810810810810811,0.09836065573770493,0.23188405797101447,0.07792207792207792,0.038834951456310676,0.11102197023904321,0.06493537137875457,19,0.7821368552110726,0.7883537399014008,0.871783383302905,0.810133773288891,0.8122445561139029,0.8129304615636345,0.03169927370997702,19
