,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampling_strategy,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,param_bootstrap,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,mean_test_auc,std_test_auc,rank_test_auc
84,14.413835954666137,0.10449792449012987,0.7913133144378662,0.023852879086234405,"{0: 28, 1: 187, 2: 72}",250,5,3,sqrt,10,"{0: 0.1, 1: 0.65, 2: 0.25}",True,"{'sampling_strategy': {0: 28, 1: 187, 2: 72}, 'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': {0: 0.1, 1: 0.65, 2: 0.25}, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.7787185456900546,0.7801813420877789,0.8406166077639873,0.7970453746042913,0.8228503629257398,0.8038824466143704,0.02429358048432276,39
85,27.54112801551819,0.1360864427737328,1.4213198184967042,0.02254168836646615,"{0: 24, 1: 384, 2: 72}",450,2,2,0.5,40,"{0: 0.05, 1: 0.8, 2: 0.15}",False,"{'sampling_strategy': {0: 24, 1: 384, 2: 72}, 'n_estimators': 450, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 40, 'class_weight': {0: 0.05, 1: 0.8, 2: 0.15}, 'bootstrap': False}",0.08695652173913045,0.0,0.07407407407407407,0.06666666666666667,0.0625,0.05803945249597423,0.03018678299250012,25,0.7564667325483364,0.6880447102044006,0.8032678424869772,0.6903170694939953,0.708499441652708,0.7293191592772834,0.04441531780513468,119
86,14.82146782875061,0.06843396471091312,0.7808324813842773,0.021867501528066147,"{0: 12, 1: 156, 2: 72}",250,3,1,0.8,30,"{0: 0.05, 1: 0.65, 2: 0.3}",True,"{'sampling_strategy': {0: 12, 1: 156, 2: 72}, 'n_estimators': 250, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': 30, 'class_weight': {0: 0.05, 1: 0.65, 2: 0.3}, 'bootstrap': True}",0.15,0.0,0.14285714285714285,0.052631578947368425,0.0,0.06909774436090224,0.06603901118123467,17,0.7430070515719478,0.7423998794030451,0.8180772602158463,0.7487074909691864,0.7921482412060301,0.7688679846732113,0.030787390625109747,76
87,27.344492769241334,0.09703838655032201,1.3369958877563477,0.02547150198922494,"{0: 36, 1: 251, 2: 72}",450,5,3,0.8,40,"{0: 0.1, 1: 0.7, 2: 0.2}",False,"{'sampling_strategy': {0: 36, 1: 251, 2: 72}, 'n_estimators': 450, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 0.8, 'max_depth': 40, 'class_weight': {0: 0.1, 1: 0.7, 2: 0.2}, 'bootstrap': False}",0.09523809523809525,0.0,0.10526315789473684,0.06896551724137931,0.08,0.06989335407484229,0.037098423265059195,16,0.7591382900915085,0.716393369400756,0.8306366514245516,0.7484241439570317,0.7635189838079286,0.7636222877363552,0.03734326217298685,85
88,31.68215594291687,0.14723429463759183,1.4098276615142822,0.013075583904777437,"{0: 12, 1: 156, 2: 72}",550,4,4,0.8,20,"{0: 0.05, 1: 0.65, 2: 0.3}",True,"{'sampling_strategy': {0: 12, 1: 156, 2: 72}, 'n_estimators': 550, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 0.8, 'max_depth': 20, 'class_weight': {0: 0.05, 1: 0.65, 2: 0.3}, 'bootstrap': True}",0.0,0.0,0.0,0.0909090909090909,0.0,0.01818181818181818,0.03636363636363636,69,0.6890441016364337,0.6699272510035789,0.6906213534774913,0.6029763998459038,0.6905946398659967,0.6686327491658809,0.0337487143856124,137
89,61.170620584487914,0.18877731792857863,2.7214206218719483,0.03127671451157792,"{0: 48, 1: 360, 2: 72}",1000,3,3,0.5,40,"{0: 0.1, 1: 0.75, 2: 0.15}",True,"{'sampling_strategy': {0: 48, 1: 360, 2: 72}, 'n_estimators': 1000, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 40, 'class_weight': {0: 0.1, 1: 0.75, 2: 0.15}, 'bootstrap': True}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.7604782562573628,0.7192017151566923,0.8215862966126771,0.7348541949315781,0.7654131769960916,0.7603067279908804,0.0349821219856548,88
90,19.872038173675538,0.1450962090037113,1.0601242065429688,0.007722585121779576,"{0: 24, 1: 144, 2: 72}",350,2,1,0.5,,"{0: 0.1, 1: 0.6, 2: 0.3}",False,"{'sampling_strategy': {0: 24, 1: 144, 2: 72}, 'n_estimators': 350, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None, 'class_weight': {0: 0.1, 1: 0.6, 2: 0.3}, 'bootstrap': False}",0.125,0.0851063829787234,0.21052631578947367,0.02816901408450704,0.03773584905660377,0.09730751238186158,0.0664276356532363,4,0.7911118369261176,0.7929152080576631,0.8814046195333568,0.8096033700149071,0.8194723618090453,0.818901479268218,0.03298779713317006,21
91,64.01172556877137,0.4853537521456396,2.7597157955169678,0.054772355502808186,"{0: 48, 1: 360, 2: 72}",1000,4,4,0.8,30,"{0: 0.1, 1: 0.75, 2: 0.15}",False,"{'sampling_strategy': {0: 48, 1: 360, 2: 72}, 'n_estimators': 1000, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 0.8, 'max_depth': 30, 'class_weight': {0: 0.1, 1: 0.75, 2: 0.15}, 'bootstrap': False}",0.0,0.0,0.0,0.09999999999999999,0.10526315789473684,0.04105263157894736,0.050306539559362186,36,0.7593169522469557,0.6981530799680641,0.8148194674751129,0.7223031785114092,0.7415829145728644,0.7472351185548812,0.03943655786287131,102
92,59.6646547794342,0.5735883675720165,2.6127652168273925,0.02666808006084526,"{0: 12, 1: 156, 2: 72}",1000,5,3,0.5,30,"{0: 0.05, 1: 0.65, 2: 0.3}",False,"{'sampling_strategy': {0: 12, 1: 156, 2: 72}, 'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 30, 'class_weight': {0: 0.05, 1: 0.65, 2: 0.3}, 'bootstrap': False}",0.14285714285714285,0.05555555555555555,0.06779661016949154,0.014814814814814817,0.015625,0.059329824679400955,0.04680692737068207,24,0.7344131227353177,0.704071263867254,0.7550011445544333,0.6694359300760989,0.6948129536571747,0.7115468829780557,0.03006785458160155,122
93,20.943573665618896,0.17602614784109372,0.9686286926269532,0.018778069432965793,"{0: 48, 1: 360, 2: 72}",350,2,1,0.8,10,"{0: 0.1, 1: 0.75, 2: 0.15}",True,"{'sampling_strategy': {0: 48, 1: 360, 2: 72}, 'n_estimators': 350, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': 10, 'class_weight': {0: 0.1, 1: 0.75, 2: 0.15}, 'bootstrap': True}",0.09999999999999999,0.0,0.1739130434782609,0.1904761904761905,0.08695652173913045,0.11026915113871638,0.06825237583981376,1,0.7765857662094031,0.7187564555661636,0.82479663221837,0.7435193094707693,0.7626353992183139,0.7652587125366039,0.03553873758790117,82
